m1_cap,m2_cap,m1_prof,m2_prof,dem,prod_sim,obj_govt,m1_infl,m2_infl,m1_pub_price,m2_pub_price,m1_priv_price,m2_priv_price,m1_pub_quant,m2_pub_quant,m1_priv_quant,m2_priv_quant,govt_cost
2000000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2025000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2050000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2075000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2100000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2125000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2150000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2175000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2200000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2225000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2250000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2275000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2300000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2325000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2350000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2375000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2400000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2425000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2450000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2475000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2500000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2525000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2550000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2575000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2600000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,,,,,,,,,
2625000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2650000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2675000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2700000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2725000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2750000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2775000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2800000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2825000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2850000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2875000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2900000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2925000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2950000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
2975000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3000000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3025000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3050000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3075000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3100000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3125000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3150000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3175000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3200000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
3225000.0,4500000.0,38500000.0,43500000.0,4034000.0,0.25,1.0,17.69,17.57,17.69,7.39242,15.7609,15.7609,927112.0,2300120.0,1681160.0,1681160.0,33404100.0
